,duration,rating,production_cost,worldwide_gross,opening_weekend,oscar,golden globe,certificate_G,certificate_PG,certificate_PG-13,certificate_R,certificate_TV-MA
184,109.0,7.2,132078418.12672387,203289068.71903616,23955937.935294695,0,0,0,1,0,0,0
185,99.0,5.7,157036018.87939072,319589323.4486745,35026557.37612883,0,0,0,0,1,0,0
186,115.0,6.3,169508941.8067019,220452683.42219138,31094574.507331442,1,1,0,0,1,0,0
187,112.0,6.2,157036018.87939072,249375991.12779492,31077714.988692578,0,1,0,0,1,0,0
188,131.0,6.3,154333713.07232606,211375851.6048375,25570275.035809465,1,1,0,0,1,0,0
189,102.0,5.8,163297319.71994355,155278722.40916592,34269831.34889492,1,1,0,0,0,1,0
190,104.0,5.9,148511564.3801765,331167771.0341371,18286347.73138264,0,1,0,0,1,0,0
191,111.0,5.7,150000000.0,151525973.0,15315435.0,0,1,0,1,0,0,0
192,88.0,5.4,159973527.631839,42179428.69497031,7374233.580853461,0,0,0,1,0,0,0
193,124.0,5.1,123431688.28324452,48590144.74167554,8120979.742481836,1,1,0,0,1,0,0
194,85.0,6.6,172929366.22067624,208161839.7741072,21835899.008463703,1,1,0,1,0,0,0
195,85.0,6.8,151801484.91674435,781956952.0944967,63146002.71540843,0,0,0,1,0,0,0
196,102.0,7.8,146450785.37118736,620735461.5161973,1515008.1245295242,1,1,0,1,0,0,0
197,88.0,7.3,198962773.8536998,614989569.1501749,46957915.034569316,0,1,1,0,0,0,0
198,91.0,6.8,146450785.37118736,272505955.66687095,32529302.01479033,0,0,0,1,0,0,0
199,97.0,7.2,151801484.91674435,321296638.93716025,24888601.990456898,0,1,0,1,0,0,0
200,124.0,6.0,173479601.06934348,145537887.78706694,21617199.769189626,1,1,0,0,1,0,0
202,133.0,6.1,183472319.90798897,558094551.4672468,60819833.673251085,1,1,0,0,1,0,0
203,125.0,7.9,154242492.3544065,426193615.7484041,87261906.71799074,0,0,0,0,1,0,0
204,150.0,6.7,194809152.69287315,771722543.453339,50218977.614496544,1,1,0,0,1,0,0
205,124.0,6.9,149308625.78971642,395209028.6697359,69384277.24533774,0,0,0,0,1,0,0
